	ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G11175.1	163	151	329	277	234.10926112761	1.18888976797933	0.291820817320355	4.07404029258882	4.62044823280926e-05	0.0004868607181383	0.0010733712908664	16.0
transcript:AT1G23052.1	48	64	217	354	174.796226949084	2.5491090474837	0.346658769134919	7.3533666949922	1.9327575372387998e-13	1.65250769433917e-11	3.64324795769513e-11	2.0
transcript:AT1G31935.1	28	4	78	128	60.9698463342575	2.90822642143664	0.648732884329481	4.48293356431674	7.362385575113e-06	9.68436871803325e-05	0.0002135091816782	13.0
transcript:AT2G15292.1	198	294	376	476	337.410333142244	1.0026136676094	0.270984039047577	3.69989934142714	0.0002156849984327	0.0018441067366004	0.0040656622204582	20.0
transcript:AT2G08330.1	124	171	237	254	197.911547174329	0.955969707203435	0.310241159819894	3.0813761389959	0.00206046181437	0.0153190856633596	0.0337736566964127	23.0
transcript:AT3G54366.1	353	374	514	481	431.519016380932	0.685224110915004	0.231830687783847	2.95570926120828	0.0031195099865288	0.021337448307857	0.0470422105968544	25.0
transcript:AT3G08785.1	1023	1365	1779	2059	1562.25327245472	0.901298324078459	0.190422919170729	4.73313993926527	2.21072958145211e-06	3.7803475842831e-05	8.33445052207444e-05	10.0
transcript:AT4G40065.1	125	215	244	340	231.428546097747	0.983351514641569	0.323691290776329	3.03793009778897	0.0023820920417497	0.016972405797467	0.0374186958224857	24.0
transcript:AT5G24735.1	500	524	760	732	631.505349293375	0.774230136965386	0.207007999323205	3.74009767495297	0.0001839487600253	0.0016555388402285	0.0036499306594513	19.0
transcript:AT5G48412.1	671	537	765	827	697.11421385905	0.627281875403216	0.198544782021749	3.15939743676821	0.0015809573476067	0.0123270397911513	0.0271771579021288	21.0
